epoch,accuracy,loss,val_accuracy,val_loss
0,0.45862165093421936,1.2160613536834717,0.5389049053192139,1.0970275402069092
1,0.6507058143615723,0.8576705455780029,0.5878962278366089,1.0208747386932373
2,0.7221145629882812,0.696278989315033,0.5850144028663635,1.1219199895858765
3,0.7821754813194275,0.5701736807823181,0.5850144028663635,1.1518760919570923
4,0.8247993588447571,0.4565400183200836,0.5994236469268799,1.2178891897201538
5,0.8533074855804443,0.3985550105571747,0.5648415088653564,1.250751256942749
6,0.8862441182136536,0.32820045948028564,0.5561959743499756,1.3138911724090576
7,0.8995294570922852,0.2812737226486206,0.5994236469268799,1.5852086544036865
8,0.9153058528900146,0.23341815173625946,0.5965417623519897,1.6485207080841064
9,0.9310821890830994,0.1957075595855713,0.5936599373817444,1.647819995880127
10,0.9487960338592529,0.15918511152267456,0.5734870433807373,1.8024259805679321
11,0.950733482837677,0.1520988643169403,0.5936599373817444,1.7799580097198486
12,0.9407694339752197,0.15972058475017548,0.559077799320221,2.126239061355591
13,0.9582064747810364,0.13518854975700378,0.5878962278366089,1.9902307987213135
14,0.9546083807945251,0.13743551075458527,0.5878962278366089,1.9235247373580933
15,0.9620813727378845,0.10726076364517212,0.5965417623519897,2.033259630203247
16,0.9623581767082214,0.10974197834730148,0.6340057849884033,2.0529861450195312
17,0.9623581767082214,0.10634675621986389,0.5763688683509827,2.10723614692688
18,0.975089967250824,0.08030290901660919,0.5763688683509827,2.2133419513702393
19,0.975089967250824,0.07663816958665848,0.5965417623519897,2.2795212268829346
20,0.9637420177459717,0.0957794040441513,0.5936599373817444,2.1487696170806885
21,0.9717686176300049,0.08872294425964355,0.5936599373817444,2.21187162399292
22,0.9739828109741211,0.07675662636756897,0.590778112411499,2.316284418106079
23,0.975089967250824,0.07462909072637558,0.579250693321228,2.365443706512451
24,0.9753667116165161,0.07433491945266724,0.5965417623519897,2.1704306602478027
