epoch,accuracy,loss,val_accuracy,val_loss
0,0.35538333654403687,1.3361186981201172,0.40345820784568787,1.2987785339355469
1,0.6288403272628784,1.0104029178619385,0.6570605039596558,0.9679442048072815
2,0.7868807315826416,0.5903066992759705,0.6887608170509338,0.8323699235916138
3,0.8425131440162659,0.4203323721885681,0.7002881765365601,0.8067668080329895
4,0.8818156719207764,0.3281087279319763,0.7089337110519409,0.822841227054596
5,0.9053418040275574,0.2666539251804352,0.7089337110519409,0.8836343884468079
6,0.924439549446106,0.2218381017446518,0.7002881765365601,0.9255019426345825
7,0.9385552406311035,0.1841658651828766,0.6916426420211792,0.9740728139877319
8,0.9496263265609741,0.157362699508667,0.6858789920806885,1.0462232828140259
9,0.9510102272033691,0.14608709514141083,0.6772334575653076,1.0667048692703247
10,0.9612510204315186,0.12687669694423676,0.6772334575653076,1.1228283643722534
11,0.9648491740226746,0.10957217961549759,0.680115282535553,1.2172061204910278
12,0.9692776203155518,0.10340169072151184,0.6743515729904175,1.2301992177963257
13,0.9695543646812439,0.09695441275835037,0.6714697480201721,1.2876648902893066
14,0.9709382653236389,0.09011975675821304,0.6657060384750366,1.3489586114883423
15,0.9731525182723999,0.08103251457214355,0.6685879230499268,1.3526339530944824
16,0.974259614944458,0.0801469162106514,0.6685879230499268,1.3941073417663574
17,0.975643515586853,0.0710582584142685,0.6484149694442749,1.4396398067474365
18,0.9745364189147949,0.06913968920707703,0.6657060384750366,1.4437763690948486
19,0.9753667116165161,0.07131384313106537,0.6599423885345459,1.4981001615524292
20,0.9784113168716431,0.06498473137617111,0.6714697480201721,1.567660927772522
21,0.9775809645652771,0.06697740405797958,0.6685879230499268,1.6072148084640503
22,0.9775809645652771,0.06557716429233551,0.6628242135047913,1.5917816162109375
23,0.976473867893219,0.06274453550577164,0.6685879230499268,1.5789283514022827
24,0.9775809645652771,0.06190001219511032,0.651296854019165,1.6529680490493774
